country,admin,season,Banana,Beans (mixed),Cassava,Chili Pepper,Coffee,Groundnuts (In Shell),Lemon,Maize,Mango,Onions,Pineapple,Potato,Sorghum,Soybean,Sweet Potatoes,Tomato,Cabbage,Garlic,Millet,Rice,Carrots,Avocado,Wheat,Cowpea,Okras,Green Bean,Bambara groundnut,Cotton,Sesame Seed,Sorghum (Red),Fonio,Yams,Bush Bean,Pea,Pigeon Pea,Pole Bean,Taro,Sunflower Seed,Cucumber,Eggplant,Goussi,Lettuce,Molokhia,Watermelon,Sugarcane,Geocarpa groundnut,Squash and Melon Seeds,Pam Nut,Melon,Barley,Beans (White),Chick Peas,Fava Bean,Field Peas,Green Peppers,Guava,Hops,Linseed,Neug,Orange,Papaya,Teff,Ethiopian Cabbage,Fenugreek,Lentils,Beet,Oats,Rape,Mung bean,Tea,Broad Beans,Green Pea,Squash,Tobacco,Ginger,Pepper,Jute,Bean (Hyacinth),Paprika,Velvet Bean,Beans (Rosecoco),Capsicum Chinense,Sorrel,Celery,Cereal Crops,Cotton (Acala),Cotton (American),Cashew (unshelled),Maize (Yellow),Cottonseed
Senegal,2008A2,Main-off,-,-,-,-,-,3 (2/45),-,6 (2/45),-,-,-,-,-,-,-,-,-,-,-,8 (2/45),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Somalia,1990A2,Deyr,-,-,-,-,-,7 (3/74),-,21 (38/74),-,6 (13/74),-,-,17 (43/74),-,-,4 (13/74),-,-,-,5 (2/74),-,-,-,8 (43/74),-,-,-,-,10 (28/74),-,-,-,-,-,-,-,-,-,-,-,-,-,-,4 (8/74),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9 (3/74),-,-,-,-,-,-,-,-,-,-,-,-,-,-
Somalia,1990A2,Gu,-,-,-,-,-,5 (4/74),-,23 (38/74),-,8 (9/74),-,-,18 (40/74),-,-,5 (13/74),-,-,-,11 (1/74),-,-,-,9 (42/74),-,-,-,-,8 (29/74),-,-,-,-,-,-,-,-,-,-,-,-,-,-,3 (10/74),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9 (3/74),-,-,-,-,-,-,-,-,-,-,-,-,-,-
Somalia,1990A2,Deyr-off,-,-,-,-,-,-,-,4 (27/74),-,-,-,-,1 (2/74),-,-,-,-,-,-,-,-,-,-,6 (7/74),-,-,-,-,3 (22/74),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Somalia,1990A2,Gu-off,-,-,-,-,-,-,-,5 (26/74),-,-,-,-,2 (3/74),-,-,-,-,-,-,-,-,-,-,4 (18/74),-,-,-,-,5 (22/74),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
South Sudan,2011A1,Main,-,-,-,-,-,23 (1/10),-,-,-,-,-,-,48 (2/10),-,-,-,-,-,30 (2/10),-,-,-,-,-,-,-,-,-,23 (2/10),-,-,-,-,-,-,-,-,9 (2/10),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2 (10/10),7 (2/10),4 (1/10),-,-,-
Chad,2012A1,Main,-,-,14 (12/23),-,-,24 (18/23),-,25 (17/23),-,-,-,-,29 (17/23),-,6 (14/23),-,-,-,31 (18/23),21 (16/23),-,-,28 (1/23),17 (18/23),-,-,9 (13/23),-,21 (18/23),-,4 (7/23),-,-,-,-,-,6 (7/23),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Chad,2012A1,Cold-off,-,-,-,-,-,-,-,-,-,-,-,-,19 (17/23),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Togo,2009A2,Main,-,5 (17/35),5 (29/35),-,-,5 (29/35),-,19 (34/35),-,-,-,-,16 (31/35),1 (22/35),0 (7/35),-,-,-,9 (25/35),-,-,-,-,5 (12/35),-,-,-,4 (17/35),-,-,-,4 (29/35),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Togo,2009A2,Annual,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4 (27/35),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
