,fnid,country,country_code,admin_1,admin_2,name,product,season_name,planting_year,planting_month,harvest_year,harvest_month,crop_production_system,indicator,value,QC_flag,year,minRe
155,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Sorghum,Gu,2019,3,2019,8,agro_pastoral,area,7000.0, ,2019, 
156,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Sorghum,Gu,2019,3,2019,8,agro_pastoral,production,2800.0, ,2019, 
157,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Sorghum,Gu,2019,3,2019,8,agro_pastoral,yield,0.4, ,2019, 
158,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Sorghum,Gu,2020,3,2020,8,agro_pastoral,area,6000.0, ,2020, 
159,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Sorghum,Gu,2020,3,2020,8,agro_pastoral,production,1000.0, ,2020, 
160,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Sorghum,Gu,2020,3,2020,8,agro_pastoral,yield,0.1666666666666666, ,2020, 
161,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Sorghum,Gu,1998,3,1998,8,none,area,3000.0, ,1998, 
162,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Sorghum,Gu,1998,3,1998,8,none,production,1800.0, ,1998, 
163,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Sorghum,Gu,1998,3,1998,8,none,yield,0.6, ,1998, 
164,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Sorghum,Gu,1999,3,1999,8,none,area,3890.0, ,1999, 
165,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Sorghum,Gu,1999,3,1999,8,none,production,3112.0, ,1999, 
166,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Sorghum,Gu,1999,3,1999,8,none,yield,0.8, ,1999, 
167,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Sorghum,Gu,2000,3,2000,8,none,area,3600.0, ,2000, 
168,SO1990A21201,Somalia,SO,Woqooyi Galbeed,Hargeysa,Hargeysa,Sorghum,Gu,2000,3,2000,8,none,production,2160.0, ,2000, 
