country,season_name,product,crop_production_system,planting_month,harvest_month,planting_year,harvest_year
Liberia,Main,Rice,none,4,12,0,0
Mozambique,Main,Bambara groundnut,none,10,6,-1,0
Mozambique,Main,Beans (Lima),none,10,6,-1,0
Mozambique,Main,Beans (mixed),none,10,6,-1,0
Mozambique,Main,Cassava,none,10,6,-1,0
Mozambique,Main,Cowpeas,none,10,6,-1,0
Mozambique,Main,Green bean,none,10,6,-1,0
Mozambique,Main,Groundnuts (In Shell),none,10,6,-1,0
Mozambique,Main,"Groundnuts (In Shell, Large)",none,10,6,-1,0
Mozambique,Main,"Groundnuts (In Shell, Small)",none,10,6,-1,0
Mozambique,Main,Maize,none,10,6,-1,0
Mozambique,Main,Millet,none,10,6,-1,0
Mozambique,Main,Pigeon Peas,none,10,6,-1,0
Mozambique,Main,Potato,none,10,6,-1,0
Mozambique,Main,Rice,none,10,6,-1,0
Mozambique,Main,Sesame Seed,none,10,6,-1,0
Mozambique,Main,Sorghum,none,10,6,-1,0
Mozambique,Main,Spanish peanut,none,10,6,-1,0
Mozambique,Main,Sugarcane,none,10,6,-1,0
Mozambique,Main,Sunflower Seed,none,10,6,-1,0
Mozambique,Main,Sweet Potatoes,none,10,6,-1,0
Mozambique,Main,Sweet Potatoes (Non-Orange),none,10,6,-1,0
Mozambique,Main,Sweet Potatoes (Orange),none,10,6,-1,0
Mozambique,Main,Virginia peanut,none,10,6,-1,0
Mozambique,Main,Wheat,none,10,6,-1,0
Mozambique,Main,Cotton (Unspecified),none,10,6,-1,0
Mozambique,Main,Ginger,none,10,6,-1,0
Mozambique,Main,Paprika (unspecified),none,10,6,-1,0
Mozambique,Main,Pepper (Piper spp.),none,10,6,-1,0
Mozambique,Main,Tobacco (unspecified),none,10,6,-1,0
South Sudan,Main,Cereal Crops,none,6,1,-1,-1
Afghanistan,Spring,Wheat,rainfed,1,6,0,0
Afghanistan,Winter,Wheat,irrigated,10,7,-1,0
Zimbabwe,Main,Maize,none,11,6,-1,0
Zambia,Annual,Barley,none,11,5,-1,0
Zambia,Annual,Beans (mixed),none,11,5,-1,0
Zambia,Annual,Cassava,none,11,5,-1,0
Zambia,Annual,Cottonseed,none,11,5,-1,0
Zambia,Annual,Cowpeas,none,11,5,-1,0
Zambia,Annual,Groundnut,none,11,5,-1,0
Zambia,Annual,Maize,none,11,5,-1,0
Zambia,Annual,Millet,none,11,5,-1,0
Zambia,Annual,Pineapple,none,11,5,-1,0
Zambia,Annual,Potato,none,11,5,-1,0
Zambia,Annual,Rice,none,11,5,-1,0
Zambia,Annual,Sorghum,none,11,5,-1,0
Zambia,Annual,Soybean,none,11,5,-1,0
Zambia,Annual,Sugarcane,none,11,5,-1,0
Zambia,Annual,Sunflower seed,none,11,5,-1,0
Zambia,Annual,Sweet Potatoes,none,11,5,-1,0
Zambia,Annual,Velvet bean,none,11,5,-1,0
Zambia,Annual,Wheat,none,11,5,-1,0
Ethiopia,Meher,Avocado (Hass),none,5,1,0,0
Ethiopia,Meher,Avocado (unspecified),none,5,1,0,0
Ethiopia,Meher,Banana,none,5,1,0,0
Ethiopia,Meher,Barley,none,5,1,0,0
Ethiopia,Meher,Beans (Red),none,5,1,0,0
Ethiopia,Meher,Beans (White),none,5,1,0,0
Ethiopia,Meher,Beans (mixed),none,5,1,0,0
Ethiopia,Meher,Beet,none,5,1,0,0
Ethiopia,Meher,Cabbage,none,5,1,0,0
Ethiopia,Meher,Carrots,none,5,1,0,0
Ethiopia,Meher,Chick Peas,none,5,1,0,0
Ethiopia,Meher,Enset,none,5,1,0,0
Ethiopia,Meher,Ethiopian cabbage,none,5,1,0,0
Ethiopia,Meher,Fava bean,none,5,1,0,0
Ethiopia,Meher,Fenugreek,none,5,1,0,0
Ethiopia,Meher,Field Peas,none,5,1,0,0
Ethiopia,Meher,Garlic,none,5,1,0,0
Ethiopia,Meher,Gibto,none,5,1,0,0
Ethiopia,Meher,Grass Pea,none,5,1,0,0
Ethiopia,Meher,Green Peppers,none,5,1,0,0
Ethiopia,Meher,Groundnuts (In Shell),none,5,1,0,0
Ethiopia,Meher,Guava,none,5,1,0,0
Ethiopia,Meher,Kabuli chick pea,none,5,1,0,0
Ethiopia,Meher,Lemon,none,5,1,0,0
Ethiopia,Meher,Lentils,none,5,1,0,0
Ethiopia,Meher,Lettuce,none,5,1,0,0
Ethiopia,Meher,Linseed,none,5,1,0,0
